SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-13-2020,Single Family Residential,9 Lipani Ln,Cornwall-On-Hudson,NY,12520,330000,4,2.5,Cornwall On Hudson,2970,82764,2006,284,111,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/9-Lipani-Rd-12520/home/54933935,OneKey,H6036453,N,Y,41.4388888,-74.0111579
PAST SALE,December-30-2020,Single Family Residential,24 Roe Ave,Cornwall-On-Hudson,NY,12520,304000,2,2,Cornwall On Hudson,1581,15682,1910,145,192,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/24-Roe-Ave-12520/home/72589538,OneKey,H6070369,N,Y,41.4376763,-74.0250663
PAST SALE,October-27-2020,Single Family Residential,14 Meadow Ave,Cornwall-On-Hudson,NY,12520,320000,3,2,Weeks Estate,1753,12632,1963,209,183,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/14-Meadow-Ave-12520/home/72589532,OneKey,H6037975,N,Y,41.4396699,-74.0213136
PAST SALE,November-18-2020,Single Family Residential,11 Vinebrook Ave,Cornwall-On-Hudson,NY,12520,269000,4,1.5,Cornwall On Hudson,1315,10019,1920,187,205,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/11-Vinebrook-Ave-12520/home/54913593,OneKey,H6039025,N,Y,41.4411737,-74.0136475
PAST SALE,March-2-2021,Single Family Residential,25 Meadow Ave,Cornwall-On-Hudson,NY,12520,480000,3,2.5,Cornwall On Hudson,2105,26572,1964,83,228,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/25-Meadow-Ave-12520/home/92374668,OneKey,H6078690,N,Y,41.4406464,-74.020671
PAST SALE,April-14-2021,Single Family Residential,61 Avenue A,Cornwall-On-Hudson,NY,12520,420000,3,2,Homeland,1224,16553,1955,40,343,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/61-Avenue-A-12520/home/69373084,OneKey,H6090402,N,Y,41.4478606,-74.022599
PAST SALE,February-25-2021,Single Family Residential,20 Maple Ave,Cornwall-On-Hudson,NY,12520,270000,4,1.5,Cornwall On Hudson,2054,7405,1900,88,131,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/20-Maple-Ave-12520/home/72599775,OneKey,H6086909,N,Y,41.4435517,-74.0156215
PAST SALE,August-24-2020,Single Family Residential,50 Avenue A,Cornwall-On-Hudson,NY,12520,422500,3,2.5,Homeland,2156,8712,1952,273,196,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/50-Avenue-A-12520/home/54885461,OneKey,H6045463,N,Y,41.4470313,-74.0199824
PAST SALE,December-3-2020,Single Family Residential,21 1st St,Cornwall-On-Hudson,NY,12520,220000,4,1,Cornwall On Hudson,1944,9701,1901,172,113,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/21-1st-St-12520/home/72579756,OneKey,H6055523,N,Y,41.4432007,-74.0257663
PAST SALE,February-2-2021,Single Family Residential,18 Hedges Ave,Cornwall-On-Hudson,NY,12520,226000,2,2,Cliffside Park,1262,7405,1870,111,179,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/18-Hedges-Ave-12520/home/72599947,OneKey,H6073774,N,Y,41.4427916,-74.0046074
